id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,a_quitte_l_entreprise_norm,present_in_eval,present_in_sondage
1,41,f,5993,célibataire,commercial,cadre commercial,8,80,8,6,4,2,3,2,4,1,1,E_1,3,oui,11 %,oui,0,0,1,1,2,infra & cloud,y,occasionnel,0,5,1,True,True
2,49,m,5130,marié(e),consulting,assistant de direction,1,80,10,10,7,3,2,2,2,4,3,E_2,4,non,23 %,non,1,3,1,8,1,infra & cloud,y,frequent,1,7,0,True,True
4,37,m,2090,célibataire,consulting,consultant,6,80,7,0,0,4,2,1,3,2,3,E_4,3,oui,15 %,oui,0,3,1,2,2,autre,y,occasionnel,0,0,1,True,True
5,33,f,2909,marié(e),consulting,assistant de direction,1,80,8,8,7,4,3,1,3,3,3,E_5,3,oui,11 %,non,0,3,1,3,4,infra & cloud,y,frequent,3,0,0,True,True
7,27,m,3468,marié(e),consulting,consultant,9,80,6,2,2,1,3,1,2,4,3,E_7,3,non,12 %,non,1,3,1,2,1,transformation digitale,y,occasionnel,2,2,0,True,True
8,32,m,3068,célibataire,consulting,consultant,0,80,8,7,7,4,3,1,4,3,2,E_8,3,non,13 %,non,0,2,1,2,2,infra & cloud,y,frequent,3,6,0,True,True
10,59,f,2670,marié(e),consulting,consultant,4,80,12,1,0,3,4,1,1,1,2,E_10,4,oui,20 %,non,3,3,1,3,3,transformation digitale,y,occasionnel,0,0,0,True,True
11,30,m,2693,divorcé(e),consulting,consultant,1,80,1,1,0,4,3,1,3,2,3,E_11,4,non,22 %,non,1,2,1,24,1,infra & cloud,y,occasionnel,0,0,0,True,True
12,38,m,9526,célibataire,consulting,tech lead,0,80,10,9,7,4,2,3,3,2,3,E_12,4,non,21 %,non,0,2,1,23,3,infra & cloud,y,frequent,1,8,0,True,True
13,36,m,5237,marié(e),consulting,manager,6,80,17,7,7,3,3,2,3,2,2,E_13,3,non,13 %,non,2,3,1,27,3,transformation digitale,y,occasionnel,7,7,0,True,True
14,35,m,2426,marié(e),consulting,consultant,0,80,6,5,4,1,4,1,2,3,3,E_14,3,non,13 %,non,1,5,1,16,3,transformation digitale,y,occasionnel,0,3,0,True,True
15,29,f,4193,célibataire,consulting,consultant,0,80,10,9,5,4,2,2,3,4,3,E_15,3,oui,12 %,non,0,3,1,15,2,infra & cloud,y,occasionnel,0,8,0,True,True
16,31,m,2911,divorcé(e),consulting,assistant de direction,1,80,5,5,2,1,3,1,3,4,2,E_16,3,non,17 %,non,1,1,1,26,1,infra & cloud,y,occasionnel,4,3,0,True,True
18,34,m,2661,divorcé(e),consulting,consultant,0,80,3,2,2,2,3,1,4,3,3,E_18,3,non,11 %,non,1,2,1,19,2,transformation digitale,y,occasionnel,1,2,0,True,True
19,28,m,2028,célibataire,consulting,consultant,5,80,6,4,2,3,2,1,3,2,3,E_19,3,oui,14 %,oui,0,4,1,24,3,infra & cloud,y,occasionnel,0,3,1,True,True
20,29,f,9980,divorcé(e),consulting,tech lead,1,80,10,10,9,2,4,3,1,3,3,E_20,3,non,11 %,non,1,1,1,21,4,infra & cloud,y,occasionnel,8,8,0,True,True
21,32,m,3298,divorcé(e),consulting,assistant de direction,0,80,7,6,2,1,4,1,2,4,2,E_21,3,oui,12 %,non,2,5,1,5,2,infra & cloud,y,occasionnel,0,5,0,True,True
22,22,m,2935,divorcé(e),consulting,consultant,1,80,1,1,0,4,4,1,4,2,2,E_22,3,oui,13 %,non,2,2,1,16,2,transformation digitale,y,aucun,0,0,0,True,True
